Series Description,Federal funds effective rate,30-Day AA Nonfinancial Commercial Paper Interest Rate,60-Day AA Nonfinancial Commercial Paper Interest Rate,90-Day AA Nonfinancial Commercial Paper Interest Rate,30-Day AA Financial Commercial Paper Interest Rate,60-Day AA Financial Commercial Paper Interest Rate,90-Day AA Financial Commercial Paper Interest Rate,"Average majority prime rate charged by banks   on short-term loans to business,   quoted on an investment basis",The rate charged for primary credit under   amendment to the Board's Regulation A,4-week Treasury bill secondary market rate   discount basis,3-month Treasury bill secondary market rate   discount basis,6-month Treasury bill secondary market rate   discount basis,1-year Treasury bill secondary market rate^  discount basis,"Market yield on U.S. Treasury securities at 1-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 3-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 6-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 1-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 2-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 3-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 7-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 20-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 30-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 7-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 20-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 30-year^  constant maturity, quoted on investment basis,^  inflation-indexed",Treasury long-term average (over 10 years)
Unit:,Percent:_Per_Year,Percent,Percent,Percent,Percent,Percent,Percent,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year
Multiplier:,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Currency:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unique Identifier: ,H15/H15/RIFSPFF_N.M,H15/H15/RIFSPPNAAD30_N.M,H15/H15/RIFSPPNAAD60_N.M,H15/H15/RIFSPPNAAD90_N.M,H15/H15/RIFSPPFAAD30_N.M,H15/H15/RIFSPPFAAD60_N.M,H15/H15/RIFSPPFAAD90_N.M,H15/H15/RIFSPBLP_N.M,H15/H15/RIFSRP_F02_N.M,H15/H15/RIFSGFSW04_N.M,H15/H15/RIFSGFSM03_N.M,H15/H15/RIFSGFSM06_N.M,H15/H15/RIFSGFSY01_N.M,H15/H15/RIFLGFCM01_N.M,H15/H15/RIFLGFCM03_N.M,H15/H15/RIFLGFCM06_N.M,H15/H15/RIFLGFCY01_N.M,H15/H15/RIFLGFCY02_N.M,H15/H15/RIFLGFCY03_N.M,H15/H15/RIFLGFCY05_N.M,H15/H15/RIFLGFCY07_N.M,H15/H15/RIFLGFCY10_N.M,H15/H15/RIFLGFCY20_N.M,H15/H15/RIFLGFCY30_N.M,H15/H15/RIFLGFCY05_XII_N.M,H15/H15/RIFLGFCY07_XII_N.M,H15/H15/RIFLGFCY10_XII_N.M,H15/H15/RIFLGFCY20_XII_N.M,H15/H15/RIFLGFCY30_XII_N.M,H15/H15/RIFLGFL_XII_N.M
Time Period,RIFSPFF_N.M,RIFSPPNAAD30_N.M,RIFSPPNAAD60_N.M,RIFSPPNAAD90_N.M,RIFSPPFAAD30_N.M,RIFSPPFAAD60_N.M,RIFSPPFAAD90_N.M,RIFSPBLP_N.M,RIFSRP_F02_N.M,RIFSGFSW04_N.M,RIFSGFSM03_N.M,RIFSGFSM06_N.M,RIFSGFSY01_N.M,RIFLGFCM01_N.M,RIFLGFCM03_N.M,RIFLGFCM06_N.M,RIFLGFCY01_N.M,RIFLGFCY02_N.M,RIFLGFCY03_N.M,RIFLGFCY05_N.M,RIFLGFCY07_N.M,RIFLGFCY10_N.M,RIFLGFCY20_N.M,RIFLGFCY30_N.M,RIFLGFCY05_XII_N.M,RIFLGFCY07_XII_N.M,RIFLGFCY10_XII_N.M,RIFLGFCY20_XII_N.M,RIFLGFCY30_XII_N.M,RIFLGFL_XII_N.M
2012/12/1,0.16,0.13,0.16,0.2,0.1,0.13,0.17,3.25,0.75,0.04,0.07,0.12,0.15,0.04,0.07,0.12,0.16,0.26,0.35,0.7,1.13,1.72,2.47,2.88,-1.4,-1.13,-0.76,0,0.33,-0.12
2013/1/1,0.14,0.12,0.13,0.16,0.11,0.15,0.19,3.25,0.75,0.05,0.07,0.11,0.14,0.05,0.07,0.11,0.15,0.27,0.39,0.81,1.3,1.91,2.68,3.08,-1.39,-1.04,-0.61,0.2,0.48,0.03
2013/2/1,0.15,0.12,0.14,0.17,0.11,0.12,0.16,3.25,0.75,0.08,0.1,0.12,0.15,0.08,0.1,0.12,0.16,0.27,0.4,0.85,1.35,1.98,2.78,3.17,-1.39,-0.94,-0.57,0.19,0.57,0.1
2013/3/1,0.14,0.1,0.13,0.15,0.11,0.13,0.15,3.25,0.75,0.08,0.09,0.11,0.14,0.08,0.09,0.11,0.15,0.26,0.39,0.82,1.32,1.96,2.78,3.16,-1.43,-0.97,-0.59,0.19,0.62,0.13
2013/4/1,0.15,0.08,0.1,0.12,0.1,0.13,0.16,3.25,0.75,0.05,0.06,0.09,0.12,0.05,0.06,0.09,0.12,0.23,0.34,0.71,1.15,1.76,2.55,2.93,-1.38,-0.97,-0.65,0.07,0.48,-0.01
